1298
gcg,285,146
no,421,245
z,290,183
jlt,302,435
i,153,443
zbt,339,363
jqz,221,183
bbn,160,64
cfg,263,324
elqb,298,70
cfs,407,388
r,68,353
ncgl,306,216
zz,71,71
xpem,296,450
p,275,383
hkv,445,388
pusa,382,403
pp,268,161
zash,401,81
zxjo,229,222
oqd,337,464
qf,270,79
wi,155,80
hfb,282,213
totl,375,417
iypi,306,55
pq,116,485
bvrl,348,421
j,323,82
kobp,227,428
gwkl,162,298
gd,84,72
bssi,438,205
kuc,444,492
sfj,135,366
oyx,112,500
qpyd,198,59
bx,55,443
agq,258,487
vzx,289,382
v,172,370
h,470,477
vjt,165,297
psoh,395,437
l,341,389
ca,297,350
aher,213,81
sw,71,395
k,63,436
s,273,202
zv,274,369
w,152,310
f,321,108
dfu,362,427
xyy,217,221
cuap,378,358
mcix,167,165
g,491,175
favg,429,195
pjz,137,466
duec,222,442
ojbi,266,78
hubo,385,244
qzlk,386,123
rwk,344,50
q,198,466
gieu,280,305
lu,375,214
vawg,119,337
ts,121,470
bn,342,487
n,84,289
ttz,383,168
y,425,201
yasi,173,351
ex,355,334
zox,378,89
vv,477,116
ixiu,322,355
nge,71,357
m,103,341
icvw,363,104
cmbn,416,332
sjl,269,83
wd,295,252
in,356,305
ghi,494,368
hsj,392,466
firt,327,424
cpas,500,314
gbl,245,161
b,493,440
hh,481,489
dwy,394,311
lo,100,409
deh,61,115
fqzy,233,374
iei,205,387
lc,455,207
